"id","name","slug","category","file","source_url","origin","bytes","sha256"
"GDT-0542","Joelho Alternado no Peito","joelho-alternado-no-peito","Mobilidade","gifs/mobilidade/joelho-alternado-no-peito.gif","https://www.gifdotreino.com/Exercicios/Mobilidade/Joelho%20Alternado%20no%20Peito.gif","catalog-api","1825807","1570747edfa551a2d93e0af65de932e873c915ca4449d9a3a31ba0e84c62fa75"
"GDT-0543","Joelhos altos contra a parede","joelhos-altos-contra-a-parede","Funcional e HIT","gifs/funcional-e-hit/joelhos-altos-contra-a-parede.gif","https://www.gifdotreino.com/Exercicios/Funcional%20e%20HIT/Joelhos%20altos%20contra%20a%20parede.gif","catalog-api","2032179","09dd9db3d955f1a783f669360b7e150d9fc94a9b1df80b9523420e76d53a58e3"
"GDT-0545","Kettlebell em Forma de Oito","kettlebell-em-forma-de-oito","Crossfit","gifs/crossfit/kettlebell-em-forma-de-oito.gif","https://www.gifdotreino.com/Exercicios/Crossfit/Kettlebell%20em%20Forma%20de%20Oito.gif","catalog-api","3480925","57d527138863ebde5588ee1e0a42d8aae605ed2778caed0ae3aab61962dd4dfe"
"GDT-0554","Kettlebell Hang Clean","kettlebell-hang-clean","Crossfit","gifs/crossfit/kettlebell-hang-clean.gif","https://www.gifdotreino.com/Exercicios/Crossfit/Kettlebell%20Hang%20Clean.gif","catalog-api","3254930","9daa563bac2b19419b935eadb32c917fcf1f7660ae01960513206907c35983a3"
"GDT-0546","Lançamento de bola medicinal","lancamento-de-bola-medicinal","Funcional e HIT","gifs/funcional-e-hit/lancamento-de-bola-medicinal.gif","https://www.gifdotreino.com/Exercicios/Funcional%20e%20HIT/Lan%C3%A7amento%20de%20bola%20medicinal.gif","catalog-api","2147940","ebf1568159b133b6c31c8ca32539a8613eeba5dd41edaaed9737fc022ca13f40"
"GDT-0544","Lançamento de Bola Medicinal deitado","lancamento-de-bola-medicinal-deitado","Funcional e HIT","gifs/funcional-e-hit/lancamento-de-bola-medicinal-deitado.gif","https://www.gifdotreino.com/Exercicios/Funcional%20e%20HIT/Lan%C3%A7amento%20de%20Bola%20Medicinal%20deitado.gif","catalog-api","577538","3713985c47feabb0aacb976a86e4a8e38a1beee422560ee9c12927128e7a14af"
"GDT-0547","Leg Press","leg-press","Pernas","gifs/pernas/leg-press.gif","https://www.gifdotreino.com/Exercicios/Pernas/Leg%20Press.gif","catalog-api","3654820","9bbf422b0801a6c790e6f97503f6d3f21428716e45cbab36335d4b716df23992"
"GDT-0551","Leg press 90 no smith","leg-press-90-no-smith","Pernas","gifs/pernas/leg-press-90-no-smith.gif","https://www.gifdotreino.com/Exercicios/Pernas/Leg%20press%2090%20no%20smith.gif","catalog-api","2758438","6a9599acb644e5de40da61f48e3f4d10035ed90127a08cc4aa85b3a6bf9cfca1"
"GDT-0548","Leg Press Alternado Deitado com Gymstick","leg-press-alternado-deitado-com-gymstick","Funcional e HIT","gifs/funcional-e-hit/leg-press-alternado-deitado-com-gymstick.gif","https://www.gifdotreino.com/Exercicios/Funcional%20e%20HIT/Leg%20Press%20Alternado%20Deitado%20com%20Gymstick.gif","catalog-api","2356309","20162d5031162702b4b9dac80e9296b8584b342ed6d1103e97a932582c764b85"
"GDT-0550","Leg Press Horizontal","leg-press-horizontal","Pernas","gifs/pernas/leg-press-horizontal.gif","https://www.gifdotreino.com/Exercicios/Pernas/Leg%20Press%20Horizontal.gif","catalog-api","3983669","ccd450b174779dc78dca6461566b08c4c5493cc3a7569eaa46802ebf2dbc87bc"
"GDT-0549","Leg Press unilateral","leg-press-unilateral","Pernas","gifs/pernas/leg-press-unilateral.gif","https://www.gifdotreino.com/Exercicios/Pernas/Leg%20Press%20unilateral.gif","catalog-api","3456562","0e8b7e509e8cb26528e26a87a8331f8815f18b82427ec339cbc6bdde9fad2ded"
"GDT-0565","Levantamento com Suporte","levantamento-com-suporte","Pernas","gifs/pernas/levantamento-com-suporte.gif","https://www.gifdotreino.com/Exercicios/Pernas/Levantamento%20com%20Suporte.gif","catalog-api","2628063","39c78618f80b122bcf797bfc0b46b951b51dc86b8cc241e5552324e494698277"
"GDT-0567","Levantamento de braço apoiado na parede","levantamento-de-braco-apoiado-na-parede","Mobilidade","gifs/mobilidade/levantamento-de-braco-apoiado-na-parede.gif","https://www.gifdotreino.com/Exercicios/Mobilidade/Levantamento%20de%20bra%C3%A7o%20apoiado%20na%20parede.gif","catalog-api","2105250","d81a551d49fa61d5bdf68fe5e90c193afe1b60771db4c2811157231392e2bc70"
"GDT-0566","Levantamento de halteres de 3 maneiras","levantamento-de-halteres-de-3-maneiras","Ombros","gifs/ombros/levantamento-de-halteres-de-3-maneiras.gif","https://www.gifdotreino.com/Exercicios/Ombros/Levantamento%20de%20halteres%20de%203%20maneiras.gif","catalog-api","1723391","453b5e982155092dab9805e1668b9e9c96b2aef6e12c3523a7cfe60a735a12ac"
"GDT-0569","Levantamento de halteres de 4 maneiras (2)","levantamento-de-halteres-de-4-maneiras-2","Ombros","gifs/ombros/levantamento-de-halteres-de-4-maneiras-2.gif","https://www.gifdotreino.com/Exercicios/Ombros/Levantamento%20de%20halteres%20de%204%20maneiras%20(2).gif","catalog-api","4841253","b98c5e9bafe6dde94159778af78c7b40aeaf1e295b155e5cff199c62241c2c8a"
"GDT-0570","Levantamento de panturrilha com alavanca","levantamento-de-panturrilha-com-alavanca","Panturrilhas","gifs/panturrilhas/levantamento-de-panturrilha-com-alavanca.gif","https://www.gifdotreino.com/Exercicios/Panturrilhas/Levantamento%20de%20panturrilha%20com%20alavanca.gif","catalog-api","4468360","fc6a50a9ba173568259d30f7c3142f0fe553ae642c78ae64de258cb747a18d16"
"GDT-0571","Levantamento de panturrilha com apoio de banco","levantamento-de-panturrilha-com-apoio-de-banco","Panturrilhas","gifs/panturrilhas/levantamento-de-panturrilha-com-apoio-de-banco.gif","https://www.gifdotreino.com/Exercicios/Panturrilhas/Levantamento%20de%20panturrilha%20com%20apoio%20de%20banco.gif","catalog-api","2953989","e36c748e264bd9f57e99eb4f41b4ef2e87a06783f8d9bb1c957b45e237555c93"
"GDT-0581","Levantamento de panturrilha com apoio de uma perna","levantamento-de-panturrilha-com-apoio-de-uma-perna","Panturrilhas","gifs/panturrilhas/levantamento-de-panturrilha-com-apoio-de-uma-perna.gif","https://www.gifdotreino.com/Exercicios/Panturrilhas/Levantamento%20de%20panturrilha%20com%20apoio%20de%20uma%20perna.gif","catalog-api","2929277","d50fb76eff64d1de9b2aac3ccd9d283d16819bd065286393e2a663be9e48013c"
"GDT-0572","Levantamento de panturrilha com apoio e sobrecarga","levantamento-de-panturrilha-com-apoio-e-sobrecarga","Calistenia","gifs/calistenia/levantamento-de-panturrilha-com-apoio-e-sobrecarga.gif","https://www.gifdotreino.com/Exercicios/Calistenia/Levantamento%20de%20panturrilha%20com%20apoio%20e%20sobrecarga.gif","catalog-api","3537684","7af763df1c1e9d644e8f6151d6fe45310eade96a893b840f8d02a1b2eecf4f80"
